Crop,Season,State,Area,Annual_Rainfall,Avg_Temperature,humidity_pct,soil_N_kg_sq_foot,soil_P_kg_sq_foot,soil_K_kg_sq_foot
Arhar/Tur,1,2,714400733.248,2051.4,23.692,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Coconut ,4,2,2115754228.2240002,2051.4,23.692,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Dry chillies,4,2,1462492506.048,2051.4,23.692,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Gram,2,2,320656890.81600004,2051.4,23.692,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Onion,4,2,843029462.528,2051.4,23.692,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Potato,4,2,8100811327.936001,2051.4,23.692,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Sweet potato,4,2,1009654795.5200001,2051.4,23.692,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Tapioca,4,2,265330391.36,2051.4,23.692,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Turmeric,4,2,1084033416.384,2051.4,23.692,79.53834369157096,0.000774811383595738,0.0001681545089098664,0.0004385023657760052
Arhar/Tur,1,12,45403250458.240005,1266.7,25.766,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Black pepper,1,12,411719572.8,1266.7,25.766,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Cardamom,4,12,2285178177.92,1266.7,25.766,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Coriander,4,12,1863986363.9680002,1266.7,25.766,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Dry chillies,1,12,20083196385.216,1266.7,25.766,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Dry chillies,2,12,491372509.76000005,1266.7,25.766,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Garlic,4,12,544761505.344,1266.7,25.766,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Ginger,1,12,389545917.37600005,1266.7,25.766,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Groundnut,1,12,91242008731.264,1266.7,25.766,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Groundnut,2,12,20711485835.264,1266.7,25.766,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Turmeric,4,12,467368989.568,1266.7,25.766,70.59496322537393,0.0004329281831602085,7.803855662115347e-05,0.000808256479290518
Black pepper,4,13,18713596425.920002,3252.4,25.314,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Cashewnut,4,13,10341211638.592001,3252.4,25.314,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Coconut ,4,13,95189995787.776,3252.4,25.314,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Tapioca,4,13,14302545944.0,3252.4,25.314,81.5,0.00021832215245203647,0.00020996087852834147,0.0003852682642649217
Arhar/Tur,1,17,93107824.96000001,3818.2,18.57,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Banana,4,17,563921265.8560001,3818.2,18.57,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Dry chillies,4,17,190090657.664,3818.2,18.57,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Ginger,1,17,791900888.128,3818.2,18.57,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Gram,2,17,47684123.072000004,3818.2,18.57,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Potato,4,17,2235018355.4560003,3818.2,18.57,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Sweet potato,4,17,561015010.048,3818.2,18.57,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Tapioca,4,17,426143212.736,3818.2,18.57,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Turmeric,4,17,150802384.704,3818.2,18.57,73.80211471896351,0.0006511429046292664,0.00027536277038836966,0.0003453860896396186
Arhar/Tur,4,29,390729947.52000004,1852.9,25.795,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Cardamom,4,29,287826964.096,1852.9,25.795,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Coconut ,4,29,2612723971.392,1852.9,25.795,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Dry chillies,4,29,6892562385.536,1852.9,25.795,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Gram,2,29,2743182565.44,1852.9,25.795,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Groundnut,4,29,3187732064.96,1852.9,25.795,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Masoor,2,29,5511337403.008,1852.9,25.795,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Moong(Green Gram),1,29,160382264.96,1852.9,25.795,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Moong(Green Gram),2,29,351872230.976,1852.9,25.795,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Moong(Green Gram),3,29,1071977836.7360001,1852.9,25.795,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
Potato,4,29,30571120122.56,1852.9,25.795,89.9,0.0001179868653676963,0.00018580608719322253,0.000412489513568954
