State,Avg_Temperature,Annual_Rainfall,humidity_pct,Rainy_Days,VPD,Date_Updated
Andhra Pradesh,31.99999200503031,62.86276677101851,60.0,6.0,1.9018470232372096,2026-06-09
Arunachal Pradesh,27.740549715360007,291.29168749907984,60.0,17.0,1.4892321008476297,2026-06-09
Assam,27.052830950419107,227.95254292339087,60.0,17.8,1.430515431915245,2026-06-09
Bihar,31.810693415006,137.0763678997755,60.0,8.0,1.8815971018763906,2026-06-09
Chhattisgarh,31.108845264116923,129.54074084926395,60.0,9.0,1.8081433643586564,2026-06-09
Delhi,32.98068788687388,49.45920026004315,60.0,3.8,2.009814772898101,2026-06-09
Goa,26.9671062596639,907.116894376278,60.0,22.2,1.4233396384318802,2026-06-09
Gujarat,31.72439559777578,80.87541011422873,60.0,5.8,1.8724278571615827,2026-06-09
Haryana,32.489244758288066,27.954813647270203,60.0,3.0,1.9550632849314016,2026-06-09
Himachal Pradesh,26.686392709414164,133.0676841666922,60.0,9.8,1.4000607927354114,2026-06-09
Jammu And Kashmir,24.140864048798882,26.839505288377403,60.0,4.0,1.2036564340311469,2026-06-09
Jharkhand,30.95630219141642,186.35308808907865,60.0,10.8,1.792512438875157,2026-06-09
Karnataka,26.73187883536021,77.52358282133937,60.0,7.6,1.4038101677917347,2026-06-09
Kerala,24.579999136924744,355.68335125083104,60.0,17.6,1.235714346018027,2026-06-09
Madhya Pradesh,31.2798156897227,191.82544925361873,60.0,10.8,1.8258031729707067,2026-06-09
Maharashtra,28.83977930704753,83.6946300134994,60.0,5.0,1.5874431752221652,2026-06-09
Manipur,27.03916784763336,199.6069816276431,60.0,15.2,1.4293696222366847,2026-06-09
Meghalaya,27.11718277136485,2172.1703509584067,60.0,26.4,1.4359228426679156,2026-06-09
Mizoram,27.102069859504702,314.8760465931147,60.0,21.4,1.4346513248537076,2026-06-09
Nagaland,27.655171283086144,301.7624505341053,60.0,22.4,1.4818303508122588,2026-06-09
Odisha,30.257093523343404,186.82755701541902,60.0,10.2,1.7223584804242225,2026-06-09
Puducherry,31.43003537336985,80.88725437298417,60.0,5.6,1.841443102271226,2026-06-09
Punjab,29.031064349810283,89.58010480105877,60.0,6.8,1.6050971066110464,2026-06-09
Rajasthan,33.52242657502492,84.348379945755,60.0,6.4,2.0717074350406235,2026-06-09
Sikkim,26.69534039656321,565.573303464055,60.0,25.6,1.400797651439468,2026-06-09
Tamil Nadu,30.89387017409007,66.40566524416208,60.0,4.4,1.786149044662897,2026-06-09
Telangana,30.171585450172422,173.75053409934043,60.0,9.2,1.7139452312377847,2026-06-09
Tripura,27.280113825798036,434.6379597529769,60.0,22.6,1.4496934266007746,2026-06-09
Uttar Pradesh,32.47258203665415,83.67639438807964,60.0,6.0,1.9532298281646279,2026-06-09
Uttarakhand,27.459330991109212,151.65593674778938,60.0,10.2,1.464973171917348,2026-06-09
West Bengal,30.777991174062095,185.81659829989076,60.0,13.4,1.7743900824513692,2026-06-09
